,准确率,精确率,召回率,F1分数,AUC值
xgboost,0.7127498740131026,0.2710217303279795,0.5825355381491152,0.369933677229182,0.7314601573217987
lightgbm,0.7099781622711238,0.27059291683247116,0.5918189730200174,0.3713817586018569,0.7341467165340742
catboost,0.649462455904586,0.2304137323943662,0.6074847693646649,0.33410450737933783,0.6860707877578833
软投票集成,0.7036788174029901,0.2653751137693408,0.5921090803597331,0.3664930867301131,0.7291610156990593
