模型,AUC
加权集成(用户),0.8038838983731125
加权集成(AUC),0.8038577011033979
VotingClassifier,0.8038576939807036
堆叠集成(Logistic),0.8023319843662559
LightGBM,0.7916610486415205
XGBoost,0.7891924011393178
CatBoost,0.7880520079195813
堆叠集成(ExtraTrees),0.7790978836979404
